,PROFILE,X,Y,LONG,LAT,Z,S
1016,AR,-6296.851169100515,-3216.996661947029,-56.565576470288704,-27.90490032506802,-540.8980101644477,1.0
1107,AU,-6550.979969205147,-3214.601080476441,-58.848454322978164,-27.885780857757005,-512.2900367775843,1.0
708,AK,-5739.738698858594,-3201.321498633616,-51.560950000369694,-27.77973283752642,-146.5352283850088,1.0
636,AJ,-5674.327103713929,-3197.2983112120173,-50.97334764359879,-27.747583832174538,-180.41435837772164,1.0
635,AJ,-5682.752908805775,-3190.8423898253377,-51.04903793854896,-27.6959749789302,-161.1505368227695,1.0
1106,AU,-6584.259255928318,-3189.1396492992776,-59.14740724205835,-27.68235910111014,-467.4135323192182,1.0
1015,AR,-6334.681334530081,-3188.048361444405,-56.90541062835018,-27.67363177127507,-572.2252484844373,1.0
1079,AT,-6500.911798836462,-3186.6476898418714,-58.398684296077256,-27.662429181882462,-528.3381403888086,1.0
1049,AS,-6423.374184969898,-3182.4058722965,-57.70215205977234,-27.6284959943437,-592.7689570143355,1.0
634,AJ,-5703.661387311239,-3174.822141068695,-51.236861996640386,-27.56780206971403,-148.57008188720704,1.0
1105,AU,-6606.918584258171,-3171.803372425604,-59.35095945172424,-27.543632891086883,-459.5617805681481,1.0
1048,AS,-6437.760535096268,-3171.3971869824095,-57.83138684178446,-27.540380436764554,-575.7855061934556,1.0
707,AK,-5779.363751131668,-3170.9703947648786,-51.916907901279075,-27.53696287270871,-148.5864581377603,1.0
1078,AT,-6535.438444423607,-3160.197971628584,-58.70884243048035,-27.450666508139065,-525.37267956756,1.0
1047,AS,-6453.460903421542,-3159.3829920900257,-57.97242565011346,-27.444135041576743,-557.992743605395,1.0
1014,AR,-6381.567174124777,-3152.170501580638,-57.326593291517106,-27.386315165765655,-584.8610624725596,1.0
826,AM,-5967.848752749331,-3150.441589705977,-53.61009747908346,-27.37245057417283,-161.47863222595356,1.0
1046,AS,-6465.236180185415,-3150.372345522888,-58.078204761030705,-27.37189525058653,-572.8200454129525,1.0
770,AL,-5887.346671278651,-3149.9861497102397,-52.886934977197996,-27.368797990851064,-199.95195838402185,1.0
633,AJ,-5738.901408594955,-3147.820945979012,-51.55342849395898,-27.351431606986615,-162.18160853171383,1.0
1104,AU,-6638.805194490771,-3147.407454969082,-59.63740174503132,-27.348114819190297,-457.61145388726607,1.0
1077,AT,-6552.258271521008,-3147.3128598675917,-58.859937508058785,-27.34735601741842,-496.8494786813234,1.0
1045,AS,-6471.516327349151,-3145.5666676932465,-58.13462028286774,-27.333347861355534,-533.2805742752923,1.0
981,AQ,-6305.456960856305,-3144.482969328453,-56.64288361295046,-27.324653407660602,-537.3870432849287,1.0
706,AK,-5814.837000525297,-3143.7993952293327,-52.23556952235589,-27.31916877506744,-164.18540029746552,1.0
76,AB,-6312.739683104741,-3143.731826379816,-56.708305420008124,-27.318626623908674,-274.5858451845743,1.0
10,AA,-6449.797760051066,-3139.9066430784023,-57.93951907333726,-27.287930192337413,-548.7342542585548,1.0
77,AB,-6299.879164213153,-3139.058405675462,-56.59277741318791,-27.281122072549227,-251.49520815786025,1.0
11,AA,-6437.514835476792,-3135.4311280365673,-57.82917968454968,-27.252004074825077,-573.0717995513672,1.0
873,AN,-6073.565180907054,-3134.1186867969386,-54.55976431104953,-27.241466544641344,-227.31773179604647,1.0
1076,AT,-6569.714112584897,-3133.940518898341,-59.0167459963073,-27.24003596505278,-471.5542034869229,1.0
705,AK,-5831.243951455304,-3131.2323689850723,-52.382955670218124,-27.218288884871818,-197.3711901522609,1.0
632,AJ,-5760.840309856886,-3131.011178803857,-51.750508997162804,-27.216512486147277,-195.82841192231345,1.0
12,AA,-6423.934323895433,-3130.4828127155174,-57.70718387335271,-27.212269013553087,-596.0202847403227,1.0
558,AI,-5683.385571415094,-3127.632127821588,-51.05472124346538,-27.189371458167603,-201.32826532294004,1.0
980,AQ,-6327.980049511621,-3127.259430944976,-56.845211960796945,-27.1863774938889,-557.9228943888301,1.0
825,AM,-6000.620844183139,-3125.3504572019674,-53.904494185358985,-27.171040972289404,-190.40265637814164,1.0
1013,AR,-6417.93404015609,-3124.3419432262417,-57.65328240743167,-27.16293780278555,-598.5207020190493,1.0
769,AL,-5922.45001192238,-3123.0835895017985,-53.20227365143715,-27.15282639704503,-199.95195838402185,1.0
1044,AS,-6506.057137581567,-3119.1354389936578,-58.44490566044426,-27.12109533050338,-520.4302459722439,1.0
494,AH,-5618.682476287853,-3117.485045508985,-50.47348345063899,-27.107828512517305,-195.35202315135058,1.0
13,AA,-6387.27995409588,-3117.1271023230215,-57.37791206714565,-27.104950948272663,-582.8245376244581,1.0
78,AB,-6238.6403052366195,-3116.804641743811,-56.04265938318132,-27.10235857054012,-244.45169553682982,1.0
1103,AU,-6680.039885820775,-3115.859475466281,-60.00781927960825,-27.09475968599083,-459.0467617512365,1.0
631,AJ,-5785.52058129057,-3112.100951182764,-51.97221564761377,-27.064536998695992,-198.57313333963214,1.0
979,AQ,-6347.888726047407,-3112.0351488881984,-57.024054644983835,-27.064007802194332,-575.3577504310288,1.0
1011,AR,-6435.2044452722985,-3111.126328876448,-57.80842509621992,-27.056698613966617,-572.8200454129525,1.0
1012,AR,-6435.2044452722985,-3111.126328876448,-57.80842509621992,-27.056698613966617,-572.8200454129525,1.0
1075,AT,-6601.585597437784,-3109.52483127325,-59.303052416016634,-27.043817392282172,-463.0625548596325,1.0
704,AK,-5860.262512678144,-3109.0053859207687,-52.643633840914475,-27.039639050254436,-200.76589962754687,1.0
1043,AS,-6521.575500686051,-3107.2605176615307,-58.584309488057,-27.02560243587933,-496.8494788391308,1.0
1010,AR,-6445.409684829303,-3103.317102085,-57.9001003229415,-26.993873050013406,-538.223008036565,1.0
14,AA,-6349.241564391855,-3103.267098196309,-57.03620739860144,-26.993470652192105,-569.946644222614,1.0
